Causality Test,p-value at Lag 1,p-value at Lag 2,p-value at Lag 3,p-value at Lag 4,p-value at Lag 5,p-value at Lag 6,p-value at Lag 7,p-value at Lag 8
Weekly Sinophobic Tweets → Weekly Google Search on Old Sinophobic Terms,0.275,0.162,0.103,0.481,0.654,0.669,0.941,0.977
Weekly Sinophobic Tweets → Weekly Google Search on New Sinophobic Terms,0.941,0.966,0.993,0.904,0.834,0.717,0.205,0.527
Weekly Google Search on Old Sinophobic Terms → Weekly Sinophobic Tweets,0.399,0.236,0.234,0.243,0.180,0.073,0.171,0.452
Weekly Google Search on New Sinophobic Terms → Weekly Sinophobic Tweets,0.455,0.729,0.252,0.389,0.530,0.665,0.787,0.744
Weekly Sinophobic Tweets → Weekly Anti-Asian Hate Crimes,0.659,0.760,0.541,0.241,0.356,0.620,0.718,0.863
Weekly Anti-Asian Hate Crimes → Weekly Sinophobic Tweets,0.723,0.087,0.231,0.039*,0.081,0.252,0.331,0.553
Weekly Google Search on Old Sinophobic Terms → Weekly Anti-Asian Hate Crimes,0.961,0.584,0.456,0.696,0.851,0.919,0.741,0.736
Weekly Google Search on New Sinophobic Terms → Weekly Anti-Asian Hate Crimes,0.824,0.841,0.741,0.891,0.996,0.987,0.575,0.486
Weekly Anti-Asian Hate Crimes → Weekly Google Search on Old Sinophobic Terms,0.053,0.044*,0.105,0.150,0.322,0.507,0.686,0.882
Weekly Anti-Asian Hate Crimes → Weekly Google Search on New Sinophobic Terms,0.203,0.342,0.434,0.570,0.601,0.731,0.127,0.102
